objectId,tns_classification,tns_redshift,tns_name,ra,dec,tns_classification_mapped,Fink URL,is_truly_hostless_legacy,legacy_url,is_truly_hostless_panstarrs,panstarrs_url
ZTF23abndxzj,SN Ia,0.042,2023vxt,352.9764272,72.84651467,SN Ia,https://ztf.fink-portal.org/ZTF23abndxzj,not_available,"https://www.legacysurvey.org/viewer?ra=352.97642724117645&dec=72.84651467352941&layer=ls-dr10&photoz-dr9&zoom=16&mark=352.97642724117645,72.84651467352941",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=352.97642724117645+72.84651467352941&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaahwrm,SN Ia,0.05,2024mk,154.2468475,-9.4483493,SN Ia,https://ztf.fink-portal.org/ZTF24aaahwrm,no,"https://www.legacysurvey.org/viewer?ra=154.24684746666665&dec=-9.4483493&layer=ls-dr10&photoz-dr9&zoom=16&mark=154.24684746666665,-9.4483493",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=154.24684746666665+-9.4483493&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25acdceqb,SN Ia,0.05,2025acsj,173.4831894,49.38396689,SN Ia,https://ztf.fink-portal.org/ZTF25acdceqb,yes,"https://www.legacysurvey.org/viewer?ra=173.48318944482762&dec=49.38396688620689&layer=ls-dr10&photoz-dr9&zoom=16&mark=173.48318944482762,49.38396688620689",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=173.48318944482762+49.38396688620689&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25acgngdl,SN Ia,0.06,2025ahdt,325.3635851,-4.3394683,SN Ia,https://ztf.fink-portal.org/ZTF25acgngdl,no,"https://www.legacysurvey.org/viewer?ra=325.36358513333334&dec=-4.3394683&layer=ls-dr10&photoz-dr9&zoom=16&mark=325.36358513333334,-4.3394683",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=325.36358513333334+-4.3394683&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaofopg,SN Ia,0.068,2024jdf,255.3433299,78.8526419,SN Ia,https://ztf.fink-portal.org/ZTF24aaofopg,yes,"https://www.legacysurvey.org/viewer?ra=255.343329925&dec=78.8526419&layer=ls-dr10&photoz-dr9&zoom=16&mark=255.343329925,78.8526419",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=255.343329925+78.8526419&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF23abaslfm,SN Ia,0.069,2023rbt,26.63096426,11.86536667,SN Ia,https://ztf.fink-portal.org/ZTF23abaslfm,yes,"https://www.legacysurvey.org/viewer?ra=26.63096426086957&dec=11.865366665217392&layer=ls-dr10&photoz-dr9&zoom=16&mark=26.63096426086957,11.865366665217392",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=26.63096426086957+11.865366665217392&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF23aaxyawz,SN Ia,0.07,2023pjx,22.85663483,12.40870139,SN Ia,https://ztf.fink-portal.org/ZTF23aaxyawz,no,"https://www.legacysurvey.org/viewer?ra=22.856634826315787&dec=12.408701394736845&layer=ls-dr10&photoz-dr9&zoom=16&mark=22.856634826315787,12.408701394736845",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=22.856634826315787+12.408701394736845&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25acaypgx,SN Ia,0.07,2025abzy,348.1433124,36.41332495,SN Ia,https://ztf.fink-portal.org/ZTF25acaypgx,not_available,"https://www.legacysurvey.org/viewer?ra=348.14331241&dec=36.41332495&layer=ls-dr10&photoz-dr9&zoom=16&mark=348.14331241,36.41332495",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=348.14331241+36.41332495&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25acczido,SN Ia,0.091,2025acua,9.30247097,9.50350131,SN Ia,https://ztf.fink-portal.org/ZTF25acczido,no,"https://www.legacysurvey.org/viewer?ra=9.30247097&dec=9.50350131&layer=ls-dr10&photoz-dr9&zoom=16&mark=9.30247097,9.50350131",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=9.30247097+9.50350131&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aalcflg,SN Ia,0.093,2024hrq,245.823057,2.508987889,SN Ia,https://ztf.fink-portal.org/ZTF24aalcflg,no,"https://www.legacysurvey.org/viewer?ra=245.82305697777775&dec=2.508987888888889&layer=ls-dr10&photoz-dr9&zoom=16&mark=245.82305697777775,2.508987888888889",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=245.82305697777775+2.508987888888889&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25aafpooi,SN Ia,0.1,2025bwb,83.60183195,-25.42546676,SN Ia,https://ztf.fink-portal.org/ZTF25aafpooi,no,"https://www.legacysurvey.org/viewer?ra=83.60183194545453&dec=-25.42546676363636&layer=ls-dr10&photoz-dr9&zoom=16&mark=83.60183194545453,-25.42546676363636",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=83.60183194545453+-25.42546676363636&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abzjfdz,SN Ia,0.1095,2024afro,166.226321,78.92745973,SN Ia,https://ztf.fink-portal.org/ZTF24abzjfdz,no,"https://www.legacysurvey.org/viewer?ra=166.22632101818184&dec=78.92745972727273&layer=ls-dr10&photoz-dr9&zoom=16&mark=166.22632101818184,78.92745972727273",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=166.22632101818184+78.92745972727273&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abifmph,SN Ia,0.11,2024vwh,105.0407976,33.166354,SN Ia,https://ztf.fink-portal.org/ZTF24abifmph,yes,"https://www.legacysurvey.org/viewer?ra=105.040797575&dec=33.166354&layer=ls-dr10&photoz-dr9&zoom=16&mark=105.040797575,33.166354",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=105.040797575+33.166354&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaimwud,SN Ia,0.115,2024lni,190.4526049,63.01838812,SN Ia,https://ztf.fink-portal.org/ZTF24aaimwud,yes,"https://www.legacysurvey.org/viewer?ra=190.45260488333335&dec=63.018388116666664&layer=ls-dr10&photoz-dr9&zoom=16&mark=190.45260488333335,63.018388116666664",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=190.45260488333335+63.018388116666664&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF23abvbwys,SN Ia-91T-like,0.049,2023aajn,55.39106185,-2.78057119,SN Ia*,https://ztf.fink-portal.org/ZTF23abvbwys,yes,"https://www.legacysurvey.org/viewer?ra=55.39106185499999&dec=-2.7805711900000007&layer=ls-dr10&photoz-dr9&zoom=16&mark=55.39106185499999,-2.7805711900000007",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=55.39106185499999+-2.7805711900000007&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25abqkwce,SN Ia-SC,0.04,2025xju,358.8111619,39.76371592,SN Ia*,https://ztf.fink-portal.org/ZTF25abqkwce,not_available,"https://www.legacysurvey.org/viewer?ra=358.81116190779227&dec=39.76371591818182&layer=ls-dr10&photoz-dr9&zoom=16&mark=358.81116190779227,39.76371591818182",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=358.81116190779227+39.76371591818182&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aagnlaw,SN Ia-SC,0.13,2024dvi,160.0097931,61.84385537,SN Ia*,https://ztf.fink-portal.org/ZTF24aagnlaw,yes,"https://www.legacysurvey.org/viewer?ra=160.00979308888884&dec=61.84385537222223&layer=ls-dr10&photoz-dr9&zoom=16&mark=160.00979308888884,61.84385537222223",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=160.00979308888884+61.84385537222223&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25acgdfwz,SN Ib/c,0.018,2025agik,23.67907885,36.96421261,SN Ibc*,https://ztf.fink-portal.org/ZTF25acgdfwz,not_available,"https://www.legacysurvey.org/viewer?ra=23.679078847826087&dec=36.964212608695654&layer=ls-dr10&photoz-dr9&zoom=16&mark=23.679078847826087,36.964212608695654",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=23.679078847826087+36.964212608695654&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF23ablspnz,SN II,0.035,2023vkz,127.150746,57.20884761,SN II,https://ztf.fink-portal.org/ZTF23ablspnz,no,"https://www.legacysurvey.org/viewer?ra=127.15074601081083&dec=57.20884760540541&layer=ls-dr10&photoz-dr9&zoom=16&mark=127.15074601081083,57.20884760540541",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=127.15074601081083+57.20884760540541&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aadosgv,,,,95.42054275,4.764511675,,https://ztf.fink-portal.org/ZTF24aadosgv,not_available,"https://www.legacysurvey.org/viewer?ra=95.42054275&dec=4.764511675&layer=ls-dr10&photoz-dr9&zoom=16&mark=95.42054275,4.764511675",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=95.42054275+4.764511675&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aboxrnx,,,,33.86880028,57.87958485,,https://ztf.fink-portal.org/ZTF24aboxrnx,not_available,"https://www.legacysurvey.org/viewer?ra=33.868800275&dec=57.87958485&layer=ls-dr10&photoz-dr9&zoom=16&mark=33.868800275,57.87958485",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=33.868800275+57.87958485&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaxseec,,,2024rkn,257.6270226,55.37388839,,https://ztf.fink-portal.org/ZTF24aaxseec,no,"https://www.legacysurvey.org/viewer?ra=257.627022632&dec=55.373888392&layer=ls-dr10&photoz-dr9&zoom=16&mark=257.627022632,55.373888392",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=257.627022632+55.373888392&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaejuzc,,,2024dju,185.0554856,14.42829891,,https://ztf.fink-portal.org/ZTF24aaejuzc,no,"https://www.legacysurvey.org/viewer?ra=185.05548561428571&dec=14.428298914285714&layer=ls-dr10&photoz-dr9&zoom=16&mark=185.05548561428571,14.428298914285714",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=185.05548561428571+14.428298914285714&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abdolll,,,2024udw,60.29677747,20.74185045,,https://ztf.fink-portal.org/ZTF24abdolll,not_available,"https://www.legacysurvey.org/viewer?ra=60.296777473333336&dec=20.741850453333335&layer=ls-dr10&photoz-dr9&zoom=16&mark=60.296777473333336,20.741850453333335",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=60.296777473333336+20.741850453333335&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aahatfg,,,2024efa,142.8956648,-12.85672126,,https://ztf.fink-portal.org/ZTF24aahatfg,no,"https://www.legacysurvey.org/viewer?ra=142.8956647666667&dec=-12.85672126&layer=ls-dr10&photoz-dr9&zoom=16&mark=142.8956647666667,-12.85672126",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=142.8956647666667+-12.85672126&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaxjkov,,,2024qpq,91.00342388,46.76394303,,https://ztf.fink-portal.org/ZTF24aaxjkov,not_available,"https://www.legacysurvey.org/viewer?ra=91.00342388&dec=46.76394303&layer=ls-dr10&photoz-dr9&zoom=16&mark=91.00342388,46.76394303",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=91.00342388+46.76394303&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abwmhtc,,,2024adpn,351.7398799,39.82656742,,https://ztf.fink-portal.org/ZTF24abwmhtc,not_available,"https://www.legacysurvey.org/viewer?ra=351.7398798928571&dec=39.82656742142857&layer=ls-dr10&photoz-dr9&zoom=16&mark=351.7398798928571,39.82656742142857",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=351.7398798928571+39.82656742142857&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aahjkim,,,2024elq,160.6639881,9.106197425,,https://ztf.fink-portal.org/ZTF24aahjkim,yes,"https://www.legacysurvey.org/viewer?ra=160.6639880875&dec=9.106197425&layer=ls-dr10&photoz-dr9&zoom=16&mark=160.6639880875,9.106197425",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=160.6639880875+9.106197425&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abprqav,,,2024aagc,7.70752424,38.66855184,,https://ztf.fink-portal.org/ZTF24abprqav,not_available,"https://www.legacysurvey.org/viewer?ra=7.707524240000001&dec=38.66855184&layer=ls-dr10&photoz-dr9&zoom=16&mark=7.707524240000001,38.66855184",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=7.707524240000001+38.66855184&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abizbkp,,,2024wdl,65.9001301,4.3784924,,https://ztf.fink-portal.org/ZTF24abizbkp,no,"https://www.legacysurvey.org/viewer?ra=65.9001301&dec=4.3784924&layer=ls-dr10&photoz-dr9&zoom=16&mark=65.9001301,4.3784924",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=65.9001301+4.3784924&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaiuemn,,,2024fzq,260.3979954,40.1221319,,https://ztf.fink-portal.org/ZTF24aaiuemn,yes,"https://www.legacysurvey.org/viewer?ra=260.39799543333334&dec=40.12213190000001&layer=ls-dr10&photoz-dr9&zoom=16&mark=260.39799543333334,40.12213190000001",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=260.39799543333334+40.12213190000001&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aahxzdl,,,2024fmi,171.547549,77.35019241,,https://ztf.fink-portal.org/ZTF24aahxzdl,no,"https://www.legacysurvey.org/viewer?ra=171.54754897142857&dec=77.35019241428573&layer=ls-dr10&photoz-dr9&zoom=16&mark=171.54754897142857,77.35019241428573",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=171.54754897142857+77.35019241428573&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abzkrvr,,,2024aepr,165.0315236,15.749096,,https://ztf.fink-portal.org/ZTF24abzkrvr,yes,"https://www.legacysurvey.org/viewer?ra=165.031523625&dec=15.749096&layer=ls-dr10&photoz-dr9&zoom=16&mark=165.031523625,15.749096",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=165.031523625+15.749096&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25aceevwg,,,2025adln,168.0373599,30.42659736,,https://ztf.fink-portal.org/ZTF25aceevwg,no,"https://www.legacysurvey.org/viewer?ra=168.03735987777776&dec=30.42659735555556&layer=ls-dr10&photoz-dr9&zoom=16&mark=168.03735987777776,30.42659735555556",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=168.03735987777776+30.42659735555556&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25abwoggs,,,2025aaen,332.6621976,16.2395582,,https://ztf.fink-portal.org/ZTF25abwoggs,yes,"https://www.legacysurvey.org/viewer?ra=332.6621976388889&dec=16.239558199999998&layer=ls-dr10&photoz-dr9&zoom=16&mark=332.6621976388889,16.239558199999998",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=332.6621976388889+16.239558199999998&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25abtjmbl,,,2025ykn,95.08365496,-17.58458745,,https://ztf.fink-portal.org/ZTF25abtjmbl,not_available,"https://www.legacysurvey.org/viewer?ra=95.08365496428571&dec=-17.584587449999997&layer=ls-dr10&photoz-dr9&zoom=16&mark=95.08365496428571,-17.584587449999997",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=95.08365496428571+-17.584587449999997&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25abztmum,,,2025abqh,136.6023706,42.87853792,,https://ztf.fink-portal.org/ZTF25abztmum,no,"https://www.legacysurvey.org/viewer?ra=136.60237060666668&dec=42.87853792000001&layer=ls-dr10&photoz-dr9&zoom=16&mark=136.60237060666668,42.87853792000001",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=136.60237060666668+42.87853792000001&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25abxvcqw,,,2025abgg,25.74448684,51.23373635,,https://ztf.fink-portal.org/ZTF25abxvcqw,not_available,"https://www.legacysurvey.org/viewer?ra=25.74448683636364&dec=51.23373634545454&layer=ls-dr10&photoz-dr9&zoom=16&mark=25.74448683636364,51.23373634545454",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=25.74448683636364+51.23373634545454&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF25abthhzy,,,2025yqr,37.0194354,76.93868512,,https://ztf.fink-portal.org/ZTF25abthhzy,not_available,"https://www.legacysurvey.org/viewer?ra=37.019435400000006&dec=76.93868511999999&layer=ls-dr10&photoz-dr9&zoom=16&mark=37.019435400000006,76.93868511999999",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=37.019435400000006+76.93868511999999&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24ablgtah,,,2024xox,318.9020157,22.74530708,,https://ztf.fink-portal.org/ZTF24ablgtah,not_available,"https://www.legacysurvey.org/viewer?ra=318.9020157&dec=22.745307083333337&layer=ls-dr10&photoz-dr9&zoom=16&mark=318.9020157,22.745307083333337",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=318.9020157+22.745307083333337&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abalacb,,,2024sba,36.42853623,22.17317547,,https://ztf.fink-portal.org/ZTF24abalacb,yes,"https://www.legacysurvey.org/viewer?ra=36.428536230769225&dec=22.173175469230767&layer=ls-dr10&photoz-dr9&zoom=16&mark=36.428536230769225,22.173175469230767",yes,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=36.428536230769225+22.173175469230767&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24aaigyqo,,,2024fzb,109.0656013,16.0262965,,https://ztf.fink-portal.org/ZTF24aaigyqo,not_available,"https://www.legacysurvey.org/viewer?ra=109.065601275&dec=16.026296499999997&layer=ls-dr10&photoz-dr9&zoom=16&mark=109.065601275,16.026296499999997",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=109.065601275+16.026296499999997&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
ZTF24abgsafr,,,2024vvg,1.48531965,-15.99685873,,https://ztf.fink-portal.org/ZTF24abgsafr,yes,"https://www.legacysurvey.org/viewer?ra=1.48531965&dec=-15.996858725&layer=ls-dr10&photoz-dr9&zoom=16&mark=1.48531965,-15.996858725",no,https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=1.48531965+-15.996858725&filter=color&filetypes=stack&auxiliary=data&size=220&output_size=500&catlist=1&show_overlay=1&show_grid=1&show_ids=1
